1-WT-0h-A431	1-WT-0h-A431-HSA	1-WT-24h-A431	1-WT-24h-A431-HSA	1-WT-3h-A431	1-WT-3h-A431-HSA	2-WT-0h-A431	2-WT-0h-A431-HSA	2-WT-24h-A431	2-WT-24h-A431-HSA	2-WT-3h-A431	2-WT-3h-A431-HSA	3-WT-0h-A431	3-WT-0h-A431-HSA	3-WT-24h-A431	3-WT-24h-A431-HSA	3-WT-3h-A431	3-WT-3h-A431-HSA
C1_02130C_A	2228	3445	3447	10638	652	279	1432	8351	3398	8844	217	348	1419	4282	3318	6807	296	190
C1_02140C_A	0	0	2	3	1	1	0	1	1	5	0	0	1	4	3	9	1	2
C1_02150W_A	1652	3537	1300	8133	686	326	1328	6123	1415	6423	281	507	947	3730	1341	4757	380	257
C1_02160W_A	207	243	243	258	110	96	267	256	236	252	120	115	168	173	227	259	99	99
C1_02170C_A	88	201	163	1171	26	24	105	456	178	1020	47	41	91	224	185	946	32	25
C1_02180W_A	780	1450	858	9660	166	162	731	3788	905	9619	171	268	620	2110	1003	8385	143	191
C1_02190W_A	487	1797	497	638	251	659	932	1030	531	969	288	726	786	703	416	1055	240	682
C1_02200C_A	93	102	178	210	60	59	102	182	143	212	59	114	137	124	184	261	66	82
C1_02210W_A	314	467	948	1091	288	412	414	608	700	1264	202	533	538	595	823	1339	283	505
C1_02220C_A	444	535	935	453	536	338	700	578	784	484	447	537	721	454	757	600	631	300
C1_02230W_A	2292	3751	1578	1058	1030	950	3460	2401	1155	1199	863	1400	1919	1529	1004	1138	1193	846
C1_02240W_A	1547	3462	2060	2234	554	748	2442	2029	1418	3919	341	858	1867	2036	2772	2861	628	684
C1_02250W_A	416	1273	2583	1596	113	141	514	1142	1634	4835	66	197	625	853	4377	1961	112	171
C1_02260C_A	1693	2251	1234	1406	738	882	2146	2551	1182	1416	769	1130	1716	1615	1103	1470	752	802
C1_02270C_A	11	24	990	1160	51	44	10	121	772	1589	33	51	96	133	1032	1397	44	42
C1_02280C_A	465	810	499	646	172	183	615	681	383	752	106	225	376	408	429	545	142	142
C1_02290C_A	783	1399	503	455	228	374	912	1275	430	576	219	459	973	1078	463	495	217	409
C1_02300W_A	170	388	142	116	76	98	292	290	107	143	55	102	247	207	90	130	55	60
C1_02310C_A	262	375	260	225	151	139	333	417	228	251	115	172	399	327	234	211	147	117
C1_02320C_A	1097	1468	2061	2415	385	426	1178	2251	1444	2760	448	599	1351	1350	1798	2245	492	531
C1_02330C_A	12677	26256	3422	5653	4905	8182	17877	25711	4097	6744	7227	10397	17957	17879	3486	7118	5063	10683
C1_02350W_A	716	1677	304	414	155	303	964	1704	278	652	128	324	1128	1265	266	482	178	298
C1_02360C_A	26	60	18	19	7	13	40	40	8	28	6	12	34	49	16	26	14	15
C1_02370C_A	952	3359	915	487	281	328	1924	1559	629	778	215	421	757	1250	694	469	376	480
C1_02380C_A	156	277	242	246	67	52	194	289	194	240	41	72	193	164	171	264	60	63
C1_02390W_A	450	1410	604	534	206	154	815	915	388	903	140	192	639	814	509	783	226	169
C1_02400C_A	512	1013	419	743	193	364	696	765	342	996	176	363	649	713	353	1004	157	297
